$F Rolling 365,
Date,Close
6/1/2022,13.55
6/2/2022,13.89
6/3/2022,13.5
6/6/2022,13.46
6/7/2022,13.74
6/8/2022,13.53
6/9/2022,13.28
6/10/2022,12.75
6/13/2022,11.81
6/14/2022,12.2
6/15/2022,12.27
6/16/2022,11.25
6/17/2022,11.23
6/21/2022,11.46
6/22/2022,11.48
6/23/2022,11.56
6/24/2022,12.01
6/27/2022,12.04
6/28/2022,11.81
6/29/2022,11.52
6/30/2022,11.13
7/1/2022,11.32
7/5/2022,11.2
7/6/2022,11.06
7/7/2022,11.65
7/8/2022,11.62
7/11/2022,11.29
7/12/2022,11.56
7/13/2022,11.51
7/14/2022,11.39
7/15/2022,11.88
7/18/2022,11.96
7/19/2022,12.59
7/20/2022,12.73
7/21/2022,13
7/22/2022,12.82
7/25/2022,12.84
7/26/2022,12.54
7/27/2022,13.19
7/28/2022,14
7/29/2022,14.69
8/1/2022,15.34
8/2/2022,15.16
8/3/2022,15.69
8/4/2022,15.37
8/5/2022,15.3
8/8/2022,15.78
8/9/2022,15.19
8/10/2022,15.5
8/11/2022,15.83
8/12/2022,16.18
8/15/2022,16.32
8/16/2022,16.43
8/17/2022,16.03
8/18/2022,16.15
8/19/2022,15.88
8/22/2022,15.08
8/23/2022,15.32
8/24/2022,15.52
8/25/2022,15.93
8/26/2022,15.41
8/29/2022,15.57
8/30/2022,15.45
8/31/2022,15.24
9/1/2022,15.19
9/2/2022,15.16
9/6/2022,15.03
9/7/2022,15.43
9/8/2022,15.47
9/9/2022,15.42
9/12/2022,15.54
9/13/2022,14.74
9/14/2022,14.66
9/15/2022,14.89
9/16/2022,14.72
9/19/2022,14.93
9/20/2022,13.09
9/21/2022,13.05
9/22/2022,12.77
9/23/2022,12.31
9/26/2022,11.99
9/27/2022,11.91
9/28/2022,12.18
9/29/2022,11.47
9/30/2022,11.2
10/3/2022,11.47
10/4/2022,12.36
10/5/2022,12.51
10/6/2022,12.36
10/7/2022,12.2
10/10/2022,11.36
10/11/2022,11.56
10/12/2022,11.54
10/13/2022,11.77
10/14/2022,11.67
10/17/2022,11.83
10/18/2022,12.03
10/19/2022,12.13
10/20/2022,11.77
10/21/2022,12.19
10/24/2022,12.48
10/25/2022,12.83
10/26/2022,12.82
10/27/2022,13
10/28/2022,13.26
10/31/2022,13.37
11/1/2022,13.4
11/2/2022,13.06
11/3/2022,13.26
11/4/2022,13.51
11/7/2022,13.7
11/8/2022,13.72
11/9/2022,13.31
11/10/2022,14.18
11/11/2022,14.5
11/14/2022,14.06
11/15/2022,14.3
11/16/2022,13.9
11/17/2022,13.91
11/18/2022,13.99
11/21/2022,13.95
11/22/2022,14.07
11/23/2022,14.03
11/25/2022,14.08
11/28/2022,13.73
11/29/2022,13.75
11/30/2022,13.9
12/1/2022,14.08
12/2/2022,13.86
12/5/2022,13.38
12/6/2022,13.28
12/7/2022,13.1
12/8/2022,13.12
12/9/2022,13.18
12/12/2022,13.46
12/13/2022,13.57
12/14/2022,13.48
12/15/2022,13.03
12/16/2022,12.12
12/19/2022,11.69
12/20/2022,11.47
12/21/2022,11.78
12/22/2022,11.31
12/23/2022,11.36
12/27/2022,11.2
12/28/2022,10.95
12/29/2022,11.54
12/30/2022,11.63
1/3/2023,11.68
1/4/2023,12.01
1/5/2023,12.25
1/6/2023,12.58
1/9/2023,12.69
1/10/2023,12.84
1/11/2023,13.22
1/12/2023,13.43
1/13/2023,12.72
1/17/2023,12.67
1/18/2023,12.41
1/19/2023,12.18
1/20/2023,12.4
1/23/2023,12.8
1/24/2023,12.74
1/25/2023,12.79
1/26/2023,12.92
1/27/2023,13.27
1/30/2023,12.89
1/31/2023,13.51
2/1/2023,13.79
2/2/2023,14.32
2/3/2023,13.23
2/6/2023,13.14
2/7/2023,13.45
2/8/2023,13.42
2/9/2023,13.49
2/10/2023,12.73
2/13/2023,13.09
2/14/2023,12.97
2/15/2023,12.93
2/16/2023,12.91
2/17/2023,12.89
2/21/2023,12.89
2/22/2023,12.21
2/23/2023,12.07
2/24/2023,11.88
2/27/2023,12.06
2/28/2023,12.07
3/1/2023,12.32
3/2/2023,12.55
3/3/2023,13.08
3/6/2023,12.98
3/7/2023,12.83
3/8/2023,12.98
3/9/2023,12.45
3/10/2023,12.1
3/13/2023,12.03
3/14/2023,11.93
3/15/2023,11.71
3/16/2023,11.82
3/17/2023,11.3
3/20/2023,11.18
3/21/2023,11.72
3/22/2023,11.48
3/23/2023,11.42
3/24/2023,11.51
3/27/2023,11.51
3/28/2023,11.6
3/29/2023,12.05
3/30/2023,12.29
3/31/2023,12.6
4/3/2023,12.68
4/4/2023,12.72
4/5/2023,12.43
4/6/2023,12.33
4/10/2023,12.72
4/11/2023,12.87
4/12/2023,12.67
4/13/2023,12.46
4/14/2023,12.52
4/17/2023,12.68
4/18/2023,12.73
4/19/2023,12.22
4/20/2023,11.87
4/21/2023,11.81
4/24/2023,12.16
4/25/2023,11.77
4/26/2023,11.54
4/27/2023,11.61
4/28/2023,11.88
5/1/2023,12.06
5/2/2023,11.8
5/3/2023,11.79
5/4/2023,11.56
5/5/2023,11.99
5/8/2023,12.02
5/9/2023,11.86
5/10/2023,11.89
5/11/2023,11.87
5/12/2023,11.67
5/15/2023,11.64
5/16/2023,11.25
5/17/2023,11.5
5/18/2023,11.64
5/19/2023,11.65
5/22/2023,11.63
5/23/2023,11.73
5/24/2023,11.33
5/25/2023,11.38
5/26/2023,12.09
5/30/2023,12.59
5/31/2023,12